Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Will_Grow
2016-07-06,ADANIPORTS,EQ,203.7,204.65,207.65,202.2,206.1,206.5,205.47,3666830.0,75300000000000.0,38840.0,1476669.0,0.4027,1
2016-07-07,ADANIPORTS,EQ,214.55,216.45,216.45,208.6,209.75,210.05,210.79,7139883.0,151000000000000.0,93181.0,4545701.0,0.6367,1
2016-07-09,ADANIPORTS,EQ,270.6,270.0,274.1,266.3,272.0,272.25,270.46,3506325.0,94800000000000.0,30937.0,1650001.0,0.4706,0
2016-07-10,ADANIPORTS,EQ,264.9,267.4,268.2,262.35,267.8,266.85,265.59,3109737.0,82600000000000.0,20223.0,1658374.0,0.5333,1
2016-07-11,ADANIPORTS,EQ,287.7,298.3,298.3,290.8,292.25,293.5,292.85,4697049.0,138000000000000.0,49484.0,2792912.0,0.5946,0
2016-07-12,ADANIPORTS,EQ,271.9,272.5,282.9,272.3,278.2,277.4,277.06,3768935.0,104000000000000.0,35152.0,1099416.0,0.2917,0
2016-08-01,ADANIPORTS,EQ,245.0,245.3,247.25,239.35,241.35,241.4,242.07,4219352.0,102000000000000.0,58497.0,2468801.0,0.5851,0
2016-08-02,ADANIPORTS,EQ,211.1,211.45,216.9,210.0,211.0,212.05,213.48,2723554.0,58100000000000.0,32213.0,990810.0,0.3638,1
2016-08-03,ADANIPORTS,EQ,225.15,224.0,231.7,222.3,228.9,228.25,228.91,3066086.0,70200000000000.0,38697.0,1614254.0,0.5265,0
2016-08-04,ADANIPORTS,EQ,216.8,216.0,220.0,214.7,219.05,219.25,218.42,1631016.0,35600000000000.0,17800.0,490170.0,0.3005,0
2016-08-06,ADANIPORTS,EQ,206.5,207.0,207.85,201.7,204.3,203.4,204.71,2752494.0,56300000000000.0,33373.0,977177.0,0.355,1
2016-08-07,ADANIPORTS,EQ,210.05,210.05,211.95,204.6,207.25,207.05,207.2,2451302.0,50800000000000.0,38590.0,903203.0,0.3685,1
2016-08-08,ADANIPORTS,EQ,234.0,235.5,241.4,234.05,240.5,240.65,237.68,3171611.0,75400000000000.0,32451.0,1107411.0,0.3492,1
2016-08-09,ADANIPORTS,EQ,272.25,272.0,276.5,272.0,274.5,275.6,274.13,3257359.0,89300000000000.0,23430.0,1495212.0,0.459,1
2016-08-11,ADANIPORTS,EQ,293.5,295.7,295.7,286.5,290.5,289.85,289.21,4446596.0,129000000000000.0,42803.0,2470986.0,0.5557,0
2016-08-12,ADANIPORTS,EQ,277.4,279.9,288.3,279.9,287.0,287.1,285.9,4172911.0,119000000000000.0,46207.0,1649217.0,0.3952,0
2016-09-02,ADANIPORTS,EQ,212.05,210.0,212.75,208.55,210.0,210.4,210.42,1954496.0,41100000000000.0,18610.0,848036.0,0.4339,1
2016-09-03,ADANIPORTS,EQ,228.25,228.0,232.65,221.3,225.7,226.0,226.08,4117976.0,93100000000000.0,38949.0,1757729.0,0.4268,0
2016-09-05,ADANIPORTS,EQ,194.55,196.15,198.4,194.35,197.15,196.75,196.69,9413270.0,185000000000000.0,109273.0,5938714.0,0.6309,1
2016-09-06,ADANIPORTS,EQ,203.4,204.45,205.85,201.0,201.95,201.9,203.05,2365078.0,48000000000000.0,21717.0,619883.0,0.2621,1
2016-09-08,ADANIPORTS,EQ,240.65,241.0,242.9,234.8,239.0,239.75,239.04,7445154.0,178000000000000.0,53510.0,1513927.0,0.2033,1
2016-09-09,ADANIPORTS,EQ,275.6,274.95,275.5,270.1,272.2,272.2,272.99,2254000.0,61500000000000.0,33687.0,912572.0,0.4049,1
