Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
21-09-2015,ADANIPORTS,EQ,339.7,335.8,337.3,331.5,333,332.9,333.15,2001172,6.67E+13,43389,1023493,0.5114
22-09-2015,ADANIPORTS,EQ,332.9,335.5,335.55,317.1,318,319.1,322.81,2640588,8.52E+13,46550,1255733,0.4756
23-09-2015,ADANIPORTS,EQ,319.1,312.75,316.6,309.25,311.75,310.85,312.58,3910066,1.22E+14,56982,2020905,0.5168
24-09-2015,ADANIPORTS,EQ,310.85,313,313.3,300.35,301.45,301.85,304.39,10386968,3.16E+14,95850,6672027,0.6423
28-09-2015,ADANIPORTS,EQ,301.85,304.6,312,302.75,307.6,307.2,307.93,3282892,1.01E+14,44775,1666342,0.5076
29-09-2015,ADANIPORTS,EQ,307.2,304,304.95,293,298,297.4,298.64,5666979,1.69E+14,69469,3276932,0.5783
30-09-2015,ADANIPORTS,EQ,297.4,302.95,303.5,294,299,299,297.39,5296746,1.58E+14,74229,3280409,0.6193
01-10-2015,ADANIPORTS,EQ,299,302.95,307.1,298.5,305.35,305.05,302.37,4450444,1.35E+14,45309,2705501,0.6079
05-10-2015,ADANIPORTS,EQ,305.05,310,319.65,309.05,318.2,317.85,314.76,5465126,1.72E+14,85585,3587693,0.6565
06-10-2015,ADANIPORTS,EQ,317.85,319.85,320.95,313,315.75,315.8,316.79,3585046,1.14E+14,55957,2005276,0.5593
07-10-2015,ADANIPORTS,EQ,315.8,315.8,319.5,312.1,313.75,314.55,315.95,1851446,5.85E+13,53203,933715,0.5043
08-10-2015,ADANIPORTS,EQ,314.55,314.1,322.4,312.15,321.3,320.75,318.81,3186244,1.02E+14,30808,1692038,0.531
09-10-2015,ADANIPORTS,EQ,320.75,323,324.7,315.95,317.05,318.55,320.82,1322859,4.24E+13,18730,412612,0.3119
12-10-2015,ADANIPORTS,EQ,318.55,322,324.25,318,321,320.75,321.24,1229567,3.95E+13,24206,485554,0.3949
13-10-2015,ADANIPORTS,EQ,320.75,320,325.3,319.1,322.6,323.55,323.18,1271687,4.11E+13,27315,666102,0.5238
14-10-2015,ADANIPORTS,EQ,323.55,323,328.4,321.3,325,324.5,325.75,1676790,5.46E+13,26385,879103,0.5243
15-10-2015,ADANIPORTS,EQ,324.5,325.2,331,325,328.8,329,328.93,1970502,6.48E+13,39544,902908,0.4582
16-10-2015,ADANIPORTS,EQ,329,330.45,330.9,320.05,323.3,323.7,323.27,1561900,5.05E+13,25417,700529,0.4485
